,IDs,Sequence,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Unnamed: 22
3716,NonAllergen_4838,mtnavylasasprrkelltqlgieftqfsvdadesqlpnelpydyverlarlkaqsgvalgytdrpvlgsdtvvvidnqslgkpcdendfthtlkrlsgnthqvltavafattdkvlscvvstnvtfktlsddeihtywqsgepqdkaggygiqglggrfvthisgsyfavvglplyeteqllqtflrg,6.35,1.06,6.35,5.29,4.23,8.47,2.12,2.65,3.7,11.64,0.53,3.17,3.7,5.82,4.23,7.41,9.52,8.99,0.53,4.23,0
3717,NonAllergen_658,mshtakmastfnnfyeisnvevgqhfywqlgsfqvhaqvlitswiviaillslavlatrnlqtipmggqnfveyvlefirdltrtqigeeeyrpwvpfigtmflfifvsnwsgalfpwrvfelpngelaaptndinttvalalltsvayfyaglhkkglsyfgkyiqptpvllpiniledftkplslsfrlfgniladelvvavlislvplvvpipmmflglftsaiqalifatlaaayigesmeghh,8.47,0.0,1.61,5.24,8.06,6.05,2.42,8.06,2.02,13.31,2.82,4.44,5.24,3.63,2.42,6.05,6.45,8.06,2.02,3.63,0
3718,NonAllergen_5275,mkstveklsptrvrinvevpftelepdidrafkqlakqirlpgfrpgkaprkllearvgrgavleqvvndalparyseavtaeslqpigqpeievtkledneelvftaevdvrpdidlpdlgalkitvdpisvtdedvdaeiealqkrfgtltgvdraaedgdfvsidlsatvdgkdvpeanteglshevgsgqliegldeaiiglkadeskvftttlvagehagqeaevtvtvksikvrelpevdddfaqlasefdtveelradlkekisrfkrvqqaeairdkaievlleqteipvpeavvqaqvddtlhnaihgldhdedkfaeslkeqgssreefdadnranaekaiktqllmdsiadkleiqvgqndlterlvlmsrqyglepqqllqmlqqnnqlpamfadvrrgltvaavvhgatvtdtdgaeidtaeffgpsgeqaeaeqdeaapaedateetdadsdeaaddsk,11.21,0.0,9.94,12.05,3.17,5.5,1.27,4.86,5.07,9.09,1.06,2.11,4.23,5.71,4.86,4.44,6.13,8.88,0.0,0.42,0
3719,NonAllergen_1185,msvvrliieydgtpyvgwqrqpnglsvqqvveealakvcggphslvssgrtdagvhargmvahfvtpqplpmaayregvnrflpaqiavrdaalmpddfharysavgkwyrysiyrspvrsplacrfswhvrtvldlqamrqaarllvgrhdfaafrasgcaarttvrevfsvdivdaeewvyvdvrgsgflrnmvrimvgtlvevgrgarppeevgamlaggcrkqsgitapaqglclmevayapqdcveg,11.9,2.38,4.37,4.76,3.17,9.13,2.38,2.78,1.19,6.75,3.57,1.19,5.56,4.37,9.92,5.56,3.17,12.7,1.59,3.57,0
3720,NonAllergen_594,malyehvylarqdisaqqvealteqlksviesfqgkvtkveywgvkslayrikknrkahfsllnieapaaaltemerqmginedvlrfmtlrveeheqgpsammrkrddddrgergerprgprpergergergergprrprednigeegly,7.28,0.0,4.64,13.91,1.99,8.61,1.99,3.97,5.3,7.28,3.97,2.65,4.64,4.64,13.25,3.97,2.65,5.3,0.66,3.31,0
3721,NonAllergen_5737,mknekrktgiepkvffppliivgilcwltvrdldaanvvinavfsyvtnvwgwafewymvvmlfgwfwlvfgpyakkrlgneppefstaswifmmfasctsaavlfwgsieiyyyistppfglepnstgakelglayslfhwgplpwatysflsvafayfffvrkmevirpsstlvplvgekhakglfgtivdnfylvalifamgtslglatplvtecmqwlfgiphtlqldaiiitcwiilnaicvacglqkgvriasdvrsylsflmlgwvfivsgasfimnyftdsvgmllmylprmlfytdpiakggfpqgwtvfywawwviyaiqmsiflarisrgrtvrelcfgmvlgltastwilwtvlgsntlllmdkniinipnlieqygvaraiietwaalplstatmwgffilcfiatvtlvnacsytlamstcrevrdgeeppllvrigwsilvgiigivllalgglkpiqtaiiaggcplffvnimvtlsfikdakqnwkd,7.94,2.18,2.18,3.37,7.34,7.74,0.6,9.13,3.37,11.51,3.77,3.17,4.76,1.59,3.17,5.75,6.35,7.94,4.56,3.57,0
3722,NonAllergen_5602,mahkkaggssrngrdsagrrlgvklyggqlavagniivrqrgttwwpgqnvgmgrdhtlfaltdghvtfkkglkgrtyisvlpanleaae,10.0,0.0,3.33,2.22,2.22,16.67,3.33,3.33,6.67,8.89,2.22,4.44,2.22,3.33,8.89,4.44,6.67,6.67,2.22,2.22,0
3725,NonAllergen_642,mnvytpdidklpnrdeaatalatlrawaqtasaaeietldpsvarllpgdpsdypslaraypeefsvdaaykdslpdlqngpsslirgakaqiqhvgisnfrlpirfhtrdngdvtletsvtgsvsleaekkginmsrimrtfyghadetfsfeviertldayksdlesfdariqmrfsfpmkveslrsglsgyqyydialevvdvngqrrkfmhldyvysstcpcslelseharqfrgqlatphsqrsvarvsveltcgaddclwfedlvelcreaiptetqvmvkredeqafaelnaanpifvedaarsfclalqrddrigdfrvvashqeslhshdavsvltegptfasdsldprlfqtlfhvg,9.81,1.63,7.9,7.36,5.18,4.36,2.72,3.81,2.45,9.26,1.91,2.45,4.63,4.09,7.36,9.26,5.45,6.81,0.54,3.0,0
3726,NonAllergen_140,miedsgkrgntmaerrqlfaemraqdldrirlstyrtacklrfvqkkcnlhlvdiwnviealrenalnnldpntelnvsrleavlstifyqlnkrmptthqihveqsislllnfllaafdpeghgkisvfavkmalatlcggkimdklryifsmisdssgvmvygrydqflrevlklptavfegpsfgyteqsarscfsqqkkvtlngfldtlmsdpppqclvwlpllhrlanvenvfhpvecsychsesmmgfryrcqqchnyqlcqdcfwrghaggshsnqhqmkeytswkspakkltnalskslscassreplhpmfpdqpekplnlahivdtwpprpvtsmndtlfshsvpssgspfitrssppkdseveqnkllaraapaflkgkgiqyslnvadrladehvliglyvnmlrnnpscmlessnrldeehrliaryaarlaaessssqppqqrsapdisftidankqqrqliaelenknreilqeiqrlrleheqasqptpekaqqnptllaelrllrqrkdeleqrmsalqesrrelmvqleglmkllktqgagsprsspshtisrpipmpirsasacstpthtpqdsltgvggdvqeafaqssrrnlrndllvaadsitntmsslvkelnsevgsetesnvdsefartqfedlvpsptsekaflaqiharkpgyihsgattstmrgdmvtedadpyvqpedenyendsvrqlenelqmeeylkqklqdeayqvslqg,7.0,1.88,4.58,7.4,3.23,4.04,2.83,3.63,4.44,11.04,3.23,4.85,5.79,6.59,6.73,9.96,4.85,4.85,0.67,2.42,0
3727,NonAllergen_8953,mtqqrtllvmaggtgghvfpglavahalreqgwkvvwlgnrtgmeatlvpkhdipmefiqfgglrgkglvtkfllplnllrafwqslgalrrvrpsvvlgmggyitfpagmmasllgrplvlheqnsiaglankvlakvadrvlcafpdtlpdsewtgnpvreelahmaepearydirtgplnvlvvggslgaaalndvvpkaiamlpeaqrpvvthqagakqidklranyaaaqvsaqtlpfiddmakayadadlvicragamtvsevaaagvaalfvpfphavddhqttnaeflskqgaallvqqqeltadglaktiaglnrpqlkemarlarglakpeatrrvaevcsqmard,15.17,0.84,4.21,4.49,3.09,8.71,2.25,2.81,3.93,12.08,3.65,2.81,5.62,5.06,6.18,2.81,5.06,8.99,1.12,1.12,0
3728,NonAllergen_417,maaskpveaamaaaaapasgngvgssggtaapgsgagtlprwhvalaigaplllgagamylwsrrrrrreaggrgdasglkrnserktpegraspalgsgpdgsgdslemssldraqaaknkgnkyfkagkyeqaiqcyteaislcpteknadlstfyqnraaafeqlqkwkevaqdctkavelnpkyvkalfrrakahekldnkkecledvtavcilegfqneqsmlladkvlkllgkenakekyknreplmpspqfiksyfssftddiisqpmlkgeksdedkdkegealevkensgylkakqymeeenydkiisecskeidaqgkymaealllratfylligsanaakpdldkvislkeanvklranalikrgtmcmqqqqpmlstqdfnmaaeidpmnsdvyhhrgqlkilldlveeavadfdacirlrpkfalaqaqkcfalyrqaytannssqvqaamkgfeevikkfprcaegyalyaqaltdqqqfgkademydkcidlepdnattyvhkgllqlqwkqdldkgleliskaieidnkcdfayetmgtievqrgnmekaidmfnkainlaksememahlyslcdaahaqtevakkyglkpptl,13.28,2.13,5.74,7.87,2.95,6.39,1.15,3.93,9.67,9.51,3.44,4.1,3.61,5.41,4.1,5.74,3.28,3.28,0.66,3.77,0
3729,NonAllergen_3395,mastaseiiafmvsisgwvlvsstlptdywkvstidgtvittatywanlwkacvtdstgvsnckdfpsmlaldgyiqacrglmiaavslgffgsifalfgmkctkvggsdkakakiaclagivfilsglcsmtgcslyankitteffdplfveqkyelgaalfigwagaslciiggvifcfsisdnnktpryayngatsvmssrtkyhggedfkttnpskqfdknayv,10.09,3.95,4.39,2.19,6.58,9.21,0.44,7.46,6.58,7.02,3.07,3.51,2.19,1.32,1.32,10.09,8.33,6.14,2.19,3.95,0
3730,NonAllergen_9595,mknliaelllklaqkeeeskelvaqvealeiivtamlrnmaqneqemlirqvegalegvkpdasvpdhdtellrqyvkkllrhprh,9.3,0.0,3.49,13.95,0.0,2.33,3.49,4.65,8.14,16.28,4.65,3.49,3.49,6.98,5.81,2.33,2.33,8.14,0.0,1.16,0
3732,NonAllergen_4389,mktktnkplivmavtfllivvvffislnlgvikiaplktlqvffgqgtardelvlfefrlpriilsllvgagisvagailqsvsqnelaepgilginaggslavvlfiyffqgsasdlsffgtfmlpfsalagailaafliyilawkkgvtpirlilvgigvnagfnalllifqlkmdphdfmqaavwisgsiwganwnmiwailpwivilllftlykarylnimqlgdqlatglgtavekerrilllaavtlaascvaaaggiaflgliaphvarrltgprhqtlipvsafigsflflladtlarnvlapseipvglvisvlgapyfiyllmkan,12.2,0.3,1.79,2.08,7.14,8.63,0.89,10.12,3.27,16.67,2.38,3.27,4.17,2.98,3.27,5.06,4.17,8.04,1.79,1.79,0
3733,NonAllergen_281,mvdanafideaiadiklkvgngkalialsggvdssvcailahralgdrlipvyvdtglmrkgetdrireifkfmnphvvdasdrffnalkgvtdpeakrkivgemfirvfedvvkglevdfliqgtiypdrieseggikshhnvgglpsvtefkgiieplqdlykdevrevaralplpeeisermpfpgpglsvrvigevtrekiavvreanaiveqelvhqfkpwqclaallekgtgvkgdnrchgwiiavravesrdamtanhmelpwetlnkissritseipsvarvvyditpkppatiefe,8.2,0.98,5.9,9.18,3.93,7.54,2.3,8.85,5.9,7.21,2.3,2.95,5.57,1.64,6.56,4.59,3.93,10.16,0.98,1.31,0
3734,NonAllergen_5299,msrlqfqlqtrdgrarrgrltfprgtvetpafmpvgtygsvkgilpddvralgaeiilgntfhlylrpgldiiadhgglhgfcrwdgpiltdsggfqvfslahrrkiteqgvtfasptdgarvflgpeesmkiqkvldsdvvmifdectpypatedvarrsmelslrwaqrsrnahdelgndaalfgivqggvhtdlrsrsaealqaigfdgyavgglavgepehernamldhldpelpsdrprylmgvgrpedlvegvargvdmfdcvmptrnarnghyftsfgtvrirnsqyardmdpiepgcgcvactggytrsylrhldrcnemlapmlgtlhnlfyyeklmadiraaieagtflafresfyaargavappl,9.04,1.86,6.91,5.59,5.05,10.64,2.93,3.99,1.33,9.31,3.46,2.39,5.59,2.66,9.57,4.52,5.32,6.12,0.53,3.19,0
3739,NonAllergen_5728,meqqkipqatakrlplyyrfiqnlslsgkqrvssaelseavkvdsatirrdfsyfgalgkkgygynvnyllsffretldqdditrvaligvgnlgtaflhynftknnntkiemafdvseekvgteiggipvyhldeleerlstdiqvailtvpatvaqsvadrlaetnvhgilnftparlnvsesirihhidlavelqtlvyflknypq,7.66,0.0,4.78,6.7,4.78,5.74,2.39,6.7,4.78,11.0,0.96,5.74,2.87,4.78,5.26,6.22,6.7,8.13,0.0,4.78,0
3740,NonAllergen_4285,mphiivkiaegrsqplkqeladrlaatmmdvlgldssavsvavedvpmqdwmqqvygpdietagerllkrpgygqlasppee,9.76,0.0,7.32,8.54,0.0,7.32,1.22,4.88,3.66,9.76,6.1,0.0,8.54,7.32,4.88,6.1,2.44,8.54,1.22,2.44,0
3741,NonAllergen_9357,mtkselierivthqgllsskdvelaiktmleqmsqclatgdrieirgfgsfslhyraprvgrnpktgqsvslegkfvphfkpgkelrdrvnedeheeaht,4.0,1.0,4.0,11.0,4.0,8.0,5.0,5.0,7.0,9.0,3.0,2.0,4.0,4.0,8.0,8.0,6.0,6.0,0.0,1.0,0
3743,NonAllergen_4910,mpivdsgsvaplsaaektkirsawapvysnyettgvdilvkfftstpaaqeffpkfkglttadqlkksadvrwhaeriinavndavvsmddtekmsmklgdlsgkhaksfqvdpqyfkvlaaviadtvaagdagfeklmsmicillrsay,13.33,0.67,7.33,4.0,5.33,4.67,1.33,5.33,8.67,6.67,4.0,2.0,4.0,2.67,2.67,8.67,6.0,8.67,1.33,2.67,0
3744,NonAllergen_6126,mkalkitglsliisatlaaqtnaaepiypdqlrlfslgedvcgtdyrpinreeaqsvrnnivammgqwqisglannwvilgpgyngeikpgkasttwcyptrpataeipvlpafnipdgdavdvqwrmvhdsanfikpvsylahylgyawvggdhsqfvgddmdviqegddwvlrgndggkcdgyrcnekssirvsnfaytldpgsfshgdvtqsertlvhtvvgwatnisdtpqsgydvtlnyttmsnwsktntyglsekvstknkfkwplvgetevsieiaanqswasqnggavttalsqsvrpvvparsrvpvkielykanisypyefkadmsydltfngflrwggnawhthpedrptlshtfaigpfkdkassiryqwdkrylpgemkwwdwnwaiqqnglatmqdslarvlrpvrasitgdfraesqfagnieigtpvplgsdskvrrtrsvdgantglkldipldaqelaelgfenvtlsvtparn,8.13,0.81,6.3,4.47,3.05,8.13,1.63,5.28,4.27,6.91,1.83,5.69,5.49,3.86,5.08,7.93,6.91,7.11,3.46,3.66,0
3746,NonAllergen_7272,mahacvstsasslrftagfvsaspngssfdspklslpfeplrsrktnklvsdrknwknstpkavysgnlwtpeipspqgvwsirddlqvpsspyfpayaqgqgpppmvqerfqsiisqlfqyriircggavdddmaniivaqllyldavdptkdivmyvnspggsvtagmaifdtmrhirpdvstvcvglaasmgafllsagtkgkryslpnsrimihqplggaqggqtdidiqanemlhhkanlngylayhtgqslekinqdtdrdffmsakeakeyglidgvimnplkalqplaaa,9.4,1.01,6.04,2.35,3.69,7.72,2.01,6.04,4.7,8.05,3.69,4.36,7.05,5.37,4.36,9.73,4.36,5.7,1.01,3.36,0
3747,NonAllergen_8890,mkeffrpvisnalhsagittdkqiiieqpadkkfgdfstniallaakecrrnprelaqtiiehlsfppdtiakievagagfinfyltplfimqsveqvlldgdeygkgesgkgekaiveyvsanptgpltigrgrggvlgdcianlfatqgyavtreyyfndagrqmqilgesvrfrylercgetiefpathyqgeyigeiaeelfndhgtaladstdvqifkkraeeiifasirktlerlgirhdsffnehtlytpdaggvtgnqrvidalrekefiaeydgatwflttklgqekdkvlikssgepsyrlpdiayhitkyergfgmivnvfgadhideypdvlealkilgydtrhikiainqfvtttvdgqtlkmstrkgnadllddliddvgadatrlffimrskdshlnfdvelakkqskdnpvfylqyaharicsllrmaqqeigfdatsspelhllqrltspaelqlgsalldypdmiktslrllepqkmveylhslaecfhrfyqecpilkaepdiararlflsvatrqvlrngfrilgvsapesm,8.33,1.09,6.34,7.61,5.62,7.25,2.54,7.79,5.25,9.96,1.81,2.9,3.8,4.17,5.98,5.07,5.98,4.53,0.18,3.8,0
3748,NonAllergen_2028,mthqthayhmvnpspwpltgalsallmtsglamwfhfnstillmiglttntltmyqwwrdvirestfqghhtptvqkglrygmilfiisevlfftgffwafyhsslaptpelggcwpptgihplnplevpllntsvllasgvsitwahhslmegnrypmlqalfitialgvyftllqaseyyeapftisdgiygstffvatgfhglhviigstflivcffrqlkfhftsnhhfgfeaaawywhfvdvvwlflyvsiywwgs,6.13,0.77,1.15,3.07,9.2,7.66,6.13,6.13,0.77,11.88,3.45,2.68,4.98,2.68,1.92,7.28,9.2,5.75,4.6,4.6,0
3749,NonAllergen_7477,msvkhfiqitkpgiifgnvlsvaggfflaskghvdfalflavvigtslvvasgcvfnncidrdidhkmertknrvmvqggmslplaliyatllgvagfsllyvqanplsafcaligfivyvgfyslwlkrksvhgtlvgslsgamppvigycavsnsfdlaavtllvmfslwqmphsfaiaifrfkdysaanipvlpvargilaakkqivlyvlafvlatlmltlggyaglgylavaaamglywlymawggykaeddskwarkvfgfsiltvtalsvmmgvdsqtaadvlmtyar,12.2,1.36,3.39,0.68,6.44,9.15,1.69,5.76,4.41,12.54,4.41,2.37,2.71,2.03,2.71,7.12,4.07,10.85,1.69,4.41,0
3750,NonAllergen_4649,mnqelstnpfnpvapvktfdeikislasperilswsygeikkpetinyrtfkperdglfcarifgpikdyeclcgkykrmkyrgvvcekcgvevtlqkvrrermghielaapvahiwflkslpsriglmldmtlrdlerilyfenyvviepgltdltygqlmteeefldaqdqygadaftanigaeairemlsaidleqtaetlreelkeatgelkpkkiikrlkivesflesgnrpewmiltvlpvippelrplvpldggrfatsdlndlyrrvinrnnrlkrlielrapdiivrnekrmlqeavdalfdngrrgrvitgtnkrplkslsdmlkgkqgrfrqnllgkrvdfsgrsvivtgpelklhqcglpkkmalelfkpfiysrleakglsstvkqakklvekerpevwdildevirehpvllnraptlhrlgiqafepiliegkaiqlhplvcsafnadfdgdqmavhvplsleaqlearvlmmstnnvlspangapiivpsqdmvlglyyttmerrgmkgegmafssveevehalaagevhlhatitarikqiddegnevvkryqttpgrlrlgnllplnakapfelvnrllrkkdvqnvidtvyrycgqkesvifcdqimgmgfreafkagisfgkddmlipdtkwpivnevrdqvkefeqqymdglitqgekynkvvdawskcsdkvagemmaeisavryddagaekepnsvymmshsgargspaqmkqlggmrglmakpngeiietpiisnfkegltvleyfnsthgarkgladtalktansgyltrrlvdvaqdcivrshdcgtenaitasaavndgevvsplservlgrvaaedilvpgtdevvvargeliderradlidqanvalvrirspltceaeegvcamcygrdlargtlvnigeavgiiaaqsigepgtqltmrtfhiggiaqggqqsfleasqegriefrnpnllenangeqivmgrnmqlaiideagqerathkltygakvhvkdgqsvkrgtrlfewdpytlpiiaekggvarfvdlvsgisvredtdeatgmtqkivsdwrstpkggdlkpeiiimdpdtgnpmrneagnpisypmsveailsvedgqtvragdvvaripregartkditgglprvaelfearrpkdhaiiaendgyvrfgkdyknkrritiepvdetlnsveymvpkgkhipvqegdfvqkgdyimdgnpaphdilrimgvealanymidevqevyrlqgvkindkhievivrqmlqkyeildsgettllkgehvdkaeldetnekaiqhgmrpahaepillgitkaslqtrsfisaasfqettrvlteasvqgkrdklvglkenvivgrlipagtggatsrvkkiahdrdqtvidarraeaesaaalaaptdevidlgpedsglvetvesrke,7.99,1.06,5.8,8.69,2.69,7.99,1.7,7.0,6.01,8.9,3.04,3.67,4.66,3.67,7.14,4.52,5.02,7.56,0.57,2.33,0
3751,NonAllergen_8613,mgrgrvemkrienkinrqvtfskrragllkkaheisilcdaevslivfshkgklfeyssescmekvleryerysyaekqlkapdshvnaqtnwsmeysrlkakiellernqrhylgedlesisikelqnleqqldtslkhirsrknqlmheslnhlqrkekeileensmltkqikeresilrthqnqseqqnrshhvapqpqpqlnpymishqaspflnmggmyqgedptavrrnrldltlepiyncnlgyfaa,4.72,1.18,2.36,10.63,1.97,3.54,4.33,5.51,7.48,11.02,3.54,6.3,3.15,7.48,7.87,8.66,2.76,3.15,0.39,3.94,0
3752,NonAllergen_111,mpsqdykdtlnladtpfamranlakrepdwlaaweaddvygkirqaragatkyilhdgppyangqihlghavnkvlkdiivksktlsgfdapyvpgwdchglpieqkveakhgkvgqkvsatefrglcreyartqielqkadfkrlgvfgdwdnpyltmnfhqeanivralakiydnghvtrgmkpvnwcldcssalaeaeveyqdkvsdaiyvsfdivdsgkvaalaeidgniaaviwtttpwtlpanqaialhsehnysvvatengnlllatdlvesalsefklenkgvlatvlgreleglhaqhpliearqvplilgdhvttdsgtglvhtapghglddyivglkynlpvenpvsgtgvylesaavfagehiykanpqiiaalhenghlirhtkiehsyphcwrhkspiifratpqwfismetkglreraladiptvqwtpawgqnriesmmtgrpdwcisrqrtwgvpitffthketgelhpntlelmetaaqriheggveawfdascedflgaeaadydkatdtldvwfdsgtthfavldqrdeltnpadmylegsdqhrgwfqtslltseamyerppfkqvlthgfvvdengrkmskslgniitpqeeinktgadmlrlwiassdyryemsagktvfkgsidmyrrirntlrfllantddfdpatnsvdinelvsldkfiieraqtvqaqiisaydamdfhqvtqhitafcsqdlgsfyldiikdrqyttqtdgqprrsaqtaiyhivqalirwitpilsftaqeawevlhgadsyvfteewytfpefelsaisnddwqrimlakdmvnkhietargekiinanlsadvnlyadgamheslaklgeelrfvlitsnatlkplstvpahsastdeqtdsnstgvvdlvvevhaatgtkcvrcwhirddigtdsthpelcarcatnvsgdgevrhya,9.78,1.28,7.01,6.48,3.4,6.27,4.04,6.16,4.36,8.18,1.91,3.93,3.93,3.93,4.68,5.53,7.33,6.27,2.34,3.19,0
3753,NonAllergen_1445,mnkqkvcpacesaeliydpergeivcakcgyvieeniidmgpewrafdasqrerrsrtgapesillhdkglsteigidrslsglmrekmyrlrkwqsrlrvsdaaernlafalseldritaqlklprhveeeaarlyreavrkglirgrsiesvmaacvyaacrllkvprtldeiadiarvdkkeigrsyrfiarnlnltpkklfvkptdyvnkfadelglsekvrrraieildeaykrgltsgkspaglvaaalyiasllegekrtqrevaevarvtevtvrnrykelveklkikvpia,10.67,2.0,4.33,10.33,1.67,5.0,0.67,6.67,7.67,10.33,1.67,2.33,3.33,1.67,11.67,5.67,3.33,7.0,0.67,3.33,0
3755,NonAllergen_6975,mnirpeevssiikkeidnykksleiktsgtvlevgdgiarifglsnvmsgellefphgvmgmalnleednvgavilgnaslikegdevratgkvvsvpagedllgrvinalgdpidgkgeihvdkympierkasgiiarqpvseplqtgiksidgmvpigrgqreliigdrqtgktaiaidtiinqkgqdvkciyvaigqkrstvaqiykklsdlgcmdytiivaataseaaplqymapysgvaigeyfmekgehvliiyddlskhavayremslllrrppgreaypgdvfylhsrlleraaklsdelgggsitalpiietqagdvsayiptnvisitdgqiflesqlfnsgfrpainagisvsrvggaaqikamkqvaskvklelaqytelltfaqfgsdldkatkaqlerghrimeilkqpqyhpfaverqvvsfyivinghlddievskvrrfekelldylkantnilteiadkkaldkdleeklkesianfkksfn,8.6,0.4,5.6,7.6,2.8,8.6,1.6,10.0,7.4,9.0,2.4,3.2,3.6,4.0,4.6,6.4,3.8,7.0,0.0,3.4,0
3758,NonAllergen_9447,mrlvrllgmvltilaaglllgppagaqppfrlsnyvtdnagvltssgrtavtaavdrlyadrrirlwvvyvenfsgqsalnwaqrttrtselgnydallavattgreyaflvpsampgvsegqvdnvrryqiepalhdgdysgaavaaanglnrspssssrvvllvtvgiivivvavllvvmrhrnrrrradelaaarrvdptnvmalaavplqalddlsrsmvvdvdnavrtstnelalaieefgerrtapftqavnnakaalsqaftvrqqlddntpetpaqrrelltrvivsaahadrelasqteafeklrdlvinaparldlltqqyvelttrigptqqrlaelhtefdaaamtsiagnvttaterlafadrnisaardladqavsgrqaglvdavraaesalgqaralldavdsaatdirhavaslpavvadiqtgikranqhlqqaqqpqtgrtgdliaardaaaraldrargaadpltafdqltkvdadldrllatlaeeqatadrlnrsleqalftaesrvravseyidtrrgsigpeartrlaeakrqleaahdrkssnpteaiayanaastlaahaqslanadvqsaqraytrrggnnagailggiiigdllsggtrgglggwiptsfggssnapgsspdggflggggrf,17.27,0.0,6.21,4.39,2.12,7.27,1.21,3.64,0.91,10.76,1.06,3.94,3.48,5.0,9.85,6.21,6.97,7.58,0.45,1.67,0
3759,NonAllergen_758,mpdsdnesggpsnageyasareqdrflpianvsrimkralpanakiskdaketvqecvsefisfitgeasdkcqrekrktingddllwamttlgfedyidplklylhkfrelegekaigaagsggggaassggsgsgsgshhhqdasrnnggygmygggggmimmmgqpmygsppassagyaqpppphhhhhqmvmggkgayghgggggggpspssgygrqdrl,8.93,0.89,4.91,5.36,2.23,18.75,4.46,4.02,4.91,4.46,4.91,3.12,6.25,3.57,4.46,10.27,2.23,1.79,0.45,4.02,0
3760,NonAllergen_1231,mtenksfkeshplddfisdkelsnttiqkekltieqqkqvdtiskqinpldnegllafgsdlqkqmsqfshqmldevqskdvgpigdtlsdlisklksvnpnelntdkpsmlkrifsrakssineifsrmqsvsaqvdritiqlqkhqthltrdielldtlydknkqyfddlslhiiaaqqkklqleneklpqlqqqaqqstnqmdiqhvadmqqfidrldkriydlqlsrqialqtapqirmiqnvnqalaekiqssiltsiplwknqmaialtlmrqrnavaaqravtdttndlltanaemlkqnaietatenergivdldtlkrtqrniietieetliiqqhgreerqlaekelqqleqdlkshlvnikgtnkqs,5.82,0.0,7.14,6.61,2.12,1.85,2.12,8.73,7.67,11.64,2.91,5.82,2.12,12.7,4.5,7.14,6.88,3.17,0.26,0.79,0
3761,NonAllergen_1847,msisqlsrknvqaltpyqsarrlggngdvwlnaneyptspdfnlserifnrypepqpeavikgyaayadvkpenvivtrggdesiellikgfcepedkvlycpptygmyavsaetlgiatktvpltedfqldlpeieknlagvkvifvcspnnptgnvlnqadlirllditagsaivvvdeayiefspetsmikqlgnyphlaiirtlskafalaglrcgftlanpeligvlqkviapyplpvpvsdiaaqalqpqgvaqmkmrvadvlanrawligelkqipsvvkifateanyvlvkfqdgekvfnalwekgiilrdqhkafglkncirisigtraelektvvalkla,10.0,1.43,4.0,6.57,3.43,6.29,0.57,7.71,6.0,10.57,1.43,5.14,6.57,4.29,4.0,4.57,4.57,8.57,0.86,3.43,0
3762,NonAllergen_7981,mitteikrvknhingewvestgteveavpnpatgkiiayvplspkedvekaveaakaafetwskvpvpnrsrnlykylqllqenkdelakiitlengktltdatgevqrgieavelatstpnlmmgqalpniasgidgsiwrypigvvagitpfnfpmmiplwmfplaiacgntfvlktsertpllaerlvelfyeagfpkgvlnlvqggkdvvnsilenkdiqavsfvgsepvaryvyetgtkhgkrvqalagaknhaivmpdcnlektvqgvigsafassgercmacsvvavvdeiadefidvlvaetkklkvgdgfnednyvgplireshkervlgyinsgvadgatllvdgrkineevgegyfvgatifdgvnqemkiwqdeifapvlsivrvkdleegikltnqskfangaviytsngkhaqtfrdnidagmigvnvnvpapmaffafagnkasffgdlstngtdgvqfytrkkvvterwf,9.05,0.82,4.32,7.82,4.73,8.85,1.03,6.58,6.58,6.79,2.26,5.97,4.32,2.67,3.5,4.53,5.97,10.49,1.23,2.47,0
3767,NonAllergen_8157,matsraalcavavvcvvlaaacaparaihvgtpaaalfeefkrtygrayetlaeeqqrlanfernlelmrehqarnphaqfgitkffdlseaefaarylngaayfaaakrhaaqhyrkaradlsavpdavdwrekgavtpvkdqgacgscwafsavgniegqwylaghelvslseqqlvscddmndgcdgglmlqafdwllqntnghlhtedsypyvsgngyvpecsnsselvvgaqidghvligssekamaawlakngpiaialdassfmsyksgvltacigkqlnhgvllvgydmtgevpywviknswggdwgeqgyvrvvmgvnacllseypvsahvresaapgtstssetpaprpvmveqvicfdknctqgcrktlikanechknggggasmikcspqkvtmctysnefcvggglcfetpdgkcapyflgsimntchyt,12.64,4.51,3.84,6.09,3.39,9.26,2.93,2.93,4.06,7.22,2.71,4.29,3.84,3.84,3.84,6.77,4.51,7.67,1.81,3.84,0
